case_index,rel_dx_um,rel_dy_um,rel_dz_um,rel_axial_um,rel_transverse_um,stt_rx_urad,stt_ry_urad,stt_rz_urad,lct_rx_urad,lct_ry_urad,lct_rz_urad,rel_rx_urad,rel_ry_urad,rel_rz_urad,centerline_angle_x_urad,centerline_angle_y_urad,centerline_angle_z_urad,centerline_angle_magnitude_urad,stt_rotation_angle_x_urad,stt_rotation_angle_y_urad,stt_rotation_angle_z_urad,stt_rotation_angle_magnitude_urad,lct_rotation_angle_x_urad,lct_rotation_angle_y_urad,lct_rotation_angle_z_urad,lct_rotation_angle_magnitude_urad,relative_rotation_angle_x_urad,relative_rotation_angle_y_urad,relative_rotation_angle_z_urad,relative_rotation_angle_magnitude_urad,global_los_angle_x_urad,global_los_angle_y_urad,global_los_angle_z_urad,global_los_angle_magnitude_urad,stt_relative_los_angle_x_urad,stt_relative_los_angle_y_urad,stt_relative_los_angle_z_urad,stt_relative_los_angle_magnitude_urad
11.0,43.271649701637216,-239.44439817569219,137.01627102591374,-137.01627102591374,243.32294484002247,-20.157447579549626,-28.132400984759443,-24.542840037611313,-589.3385969102383,-59.000747569371015,-22.095659005572088,-569.1811493306886,-30.868346584611572,2.447181032039225,48.08692979057105,-266.0898311761015,0.036558076121906424,270.3999834911413,28.13215361582104,-20.157792798000095,0.0005988772810994192,34.60859253929951,58.99423320283508,-589.3392142356968,0.1754005298781891,592.2845844584671,30.86904135759401,-569.181080736846,0.16246001333097837,570.017543925712,107.081145897471,-855.4289088391364,0.37161256405404686,862.104976139467,78.9559590728231,-835.2707841685636,0.3519557250086791,838.9942349972832
12.0,43.112612729601096,-239.53020172484685,129.22350418875794,-129.22350418875794,243.3791587517682,-20.19432395172771,-28.938309696968645,-24.665851015015505,-588.9932508580387,-57.807239500107244,-22.219333914108574,-568.798926906311,-28.8689298031386,2.446517100906931,47.90978024719373,-266.1828778315746,0.03657433633730278,270.4601107262093,28.938060632921747,-20.194680839526345,0.0006226181792357011,35.2879085155948,57.80069260214306,-588.9938586457898,0.17512735805969015,591.823187774646,28.86962403056059,-568.7988608417758,0.16218281273516766,569.5310345245181,105.71045598330831,-855.1766000345427,0.37125092777756663,861.6853937202598,76.7793925468114,-834.9816110984727,0.3515447447588471,838.5042432763585
13.0,42.367370951978955,-247.95464742055628,124.16335681564306,-124.16335681564306,251.54820869732893,-21.361285689636134,-30.58218862861395,-25.49826785980258,-605.8033322915435,-54.64371861307882,-22.999145585345104,-584.4420466019074,-24.06152998446487,2.499122274457477,47.08135008348989,-275.54316677490766,0.039070345958514,279.53656340813217,30.58191628030083,-21.36167557880608,0.0006957873166513195,37.303817323559386,54.6367487594126,-605.8039232613191,0.18499180098885404,608.262745656682,24.06225890837264,-584.4419832069975,0.17107572658492387,584.9371111826483,101.71808160194234,-881.3469406501271,0.3935595762616373,887.1972711399185,71.14359745437214,-859.9850105165261,0.3723178840786545,862.9227252609929
14.0,42.284809751436114,-255.21826682961546,141.07839274402068,-141.07839274402068,258.6974465649554,-21.972928152536042,-31.844716431805864,-26.11691343190614,-621.8884373083711,-55.57604163186625,-23.631426302017644,-599.915509155835,-23.731325200060382,2.4854871298884973,46.99048594030785,-283.6202988653501,0.041324290767086325,287.4866600337775,31.844429487701387,-21.973343987419575,0.0007484477482222474,38.68973423773616,55.56868996064164,-621.8890535154997,0.19491695602003034,624.3667785735769,23.732069315446243,-599.9154436221637,0.1802308915443973,600.3846688668614,102.55915754372683,-905.5091903023556,0.4152327234274722,911.2986747044607,70.7225431435729,-883.5355911702297,0.39281848651651075,886.3615622155678
15.0,43.325195292709395,-256.71844559838064,200.90120437998849,-200.90120437998849,260.3486755441635,-21.368216039263643,-32.37315104342997,-26.099560272996314,-628.2849353738129,-62.01898941071704,-23.6986052186694,-606.9167193345493,-29.64583836728707,2.4009550543269143,48.1498520471376,-285.3063925002832,0.04185907376275111,289.3408817531441,32.372872181110885,-21.368638493989103,0.0007523107692364306,38.78945171488424,62.01154054682613,-628.2856284589136,0.19929415084884994,631.3384687226041,29.646565132779152,-606.9166463964877,0.18461338424646812,607.6403002577524,110.16137251818337,-913.5918544664507,0.42339289185733264,920.2095438227852,77.79640359785736,-892.222883128334,0.4010570571200134,895.6081473449187
16.0,41.20346602576319,-252.88205688411836,195.69221063875375,-195.69221063875375,256.2168228404971,-20.679810404544696,-31.590843718731776,-25.649549570516683,-619.801867287606,-55.08583126356825,-23.210754079627804,-599.1220568830613,-23.494987544836476,2.4387954908888787,45.79158379068293,-281.04116022008526,0.04054050228852191,284.7472614159981,31.590578493852437,-20.680215542816732,0.0007128179158044645,37.7575947919569,55.078634669725105,-619.8024665270517,0.19359439551447366,622.2449304816377,23.495716705138463,-599.1219923354121,0.17974962129851946,599.5825301019382,100.87020063541956,-900.843467557165,0.41084695967530394,906.473248594048,69.2872887548243,-880.1630034084974,0.3897438964894917,882.8859727915384
17.0,39.02505159203429,-251.24019339273218,175.63764311034902,-175.63764311034902,254.25300279009176,-20.900488379993476,-30.73121843044646,-25.4492861131439,-615.0134140625596,-48.66209565079771,-22.99092011526227,-594.1129256825661,-17.93087722035125,2.4583659978816286,43.36963041537425,-279.21024799244736,0.03991964447891405,282.55846727070514,30.730952468798574,-20.900879416713767,0.000690619117449387,37.165013117602506,48.65502269772318,-615.0139343882141,0.19030474340819836,616.9355320658606,17.93160643801441,-594.1128686591135,0.17664583717991178,594.3834143175673,92.0246371166079,-894.2240269391868,0.404052653557585,898.9466859562801,61.301226636921214,-873.3229711034832,0.38322549955616125,875.471788377105
18.0,39.62573828175664,-253.85114167875145,163.20066021080493,-163.20066021080493,256.92528343076674,-21.766983991255984,-30.68519799853675,-25.749728592927568,-619.3438894115388,-49.14567034575157,-23.261311071109958,-597.5769054202829,-18.460472347214818,2.4884175218176097,44.036581628583306,-282.10796837549395,0.04076206405745353,285.5243007915081,30.684917740950826,-21.767379051463777,0.0007076914609882579,37.62157582477139,49.13846380439512,-619.3444211073516,0.19300106890440816,621.2906731811257,18.461214757846264,-597.5768468514428,0.17871946811354178,597.861944217265,93.17502895163156,-901.4522300286759,0.41064893896436416,906.2547704943738,62.49778579967016,-879.684666213499,0.38887561815137417,881.9019702897917
19.0,41.86844489595387,-254.7045769460965,153.26528119885552,-153.26528119885552,258.1228161075567,-22.182628526934423,-30.409499231609516,-25.923158318619244,-620.7094411365688,-54.03418981586583,-23.416556359734386,-598.5268126096344,-23.624690584256314,2.5066019588848576,46.52841596017454,-283.05327634114093,0.04114202623028973,286.85196659464845,30.409211699112372,-22.183022674363738,0.0007084033359916475,37.6404921744226,54.026918876346365,-620.7100335672577,0.19409994567176625,623.0568623603607,23.625439305722963,-598.526747209009,0.17939623031537622,598.9928451216971,100.55531691678034,-903.7631488507673,0.41344968582102126,909.339980964704,70.15384330367077,-881.5798732282598,0.39105239368897315,884.3667986822156
20.0,43.27080569055397,-248.39797151798848,143.13739154658833,-143.13739154658833,252.13868183870773,-21.364667190937325,-29.307217118912376,-25.372202799189836,-607.7013094909489,-58.05760156363249,-22.884109057486057,-586.3366423000116,-28.750384444720112,2.4880937417037785,48.086318824640465,-276.04163738544514,0.0392556405159894,280.1986431597101,29.306946075009076,-21.365038978288947,0.0006576809097325054,36.267919416300906,58.05064460118963,-607.7019359906319,0.18633577747451113,610.4682795570754,28.75111222362147,-586.3365728556297,0.17230861637518302,587.0410574416243,106.13694532497306,-883.7434226602891,0.3961338225222377,890.0940895535924,76.83741850564166,-862.3780694700695,0.37480003189926947,865.7943887468521
